date,task_name,category,start_time,end_time,energy_level,completed,notes
2025-01-01,Watch lecture,learning,08:00,09:00,4,true,Good session
2025-01-01,Algorithm design,deep_work,09:15,09:45,5,true,Productive session
2025-01-01,Debug complex issue,deep_work,10:00,11:30,4,true,
2025-01-01,Data analysis,deep_work,11:00,11:45,4,true,Felt focused
2025-01-02,Documentation update,admin,08:00,08:45,4,true,Routine tasks
2025-01-02,Data analysis,deep_work,09:45,10:45,4,false,In the zone
2025-01-02,Debug complex issue,deep_work,11:30,12:15,3,true,Hard to concentrate
2025-01-02,Online course module,learning,12:15,13:15,3,true,Hard to follow
2025-01-02,Algorithm design,deep_work,14:00,14:45,3,false,Productive session
2025-01-02,Online course module,learning,15:15,16:00,2,true,Need to review again
2025-01-03,File organization,admin,08:00,09:00,4,true,Took longer than expected
2025-01-03,Paper review,deep_work,10:30,11:00,4,true,Felt focused
2025-01-03,Write research report,deep_work,11:15,12:45,4,true,In the zone
2025-01-03,Algorithm design,deep_work,12:30,13:15,4,true,Got distracted
2025-01-06,Write research report,deep_work,08:30,10:00,4,true,Felt focused
2025-01-06,File organization,admin,11:15,12:15,5,true,Cleared backlog
2025-01-06,Watch lecture,learning,12:30,14:00,4,true,Applied concepts
2025-01-06,Reply to emails,admin,15:45,16:15,3,true,Quick and easy
2025-01-06,Slack catchup,admin,16:00,17:00,4,true,Backed up inbox
2025-01-07,Study group,meetings,08:45,09:15,5,true,Could have been email
2025-01-07,Watch lecture,learning,09:00,09:30,4,true,Hard to follow
2025-01-07,Debug complex issue,deep_work,10:15,11:00,4,true,Productive session
2025-01-07,Code feature implementation,deep_work,12:45,13:30,5,true,Hard to concentrate
2025-01-08,1:1 with mentor,meetings,08:15,08:45,4,true,Good alignment
2025-01-08,Team standup,meetings,09:45,10:45,4,true,Useful feedback
2025-01-08,1:1 with mentor,meetings,11:15,12:15,3,false,Useful feedback
2025-01-08,Brainstorming session,meetings,12:45,13:30,4,true,Good alignment
2025-01-08,Documentation update,admin,14:30,16:00,3,false,Quick and easy
2025-01-08,Reply to emails,admin,16:00,16:30,2,false,Cleared backlog
2025-01-08,Paper review,deep_work,17:00,17:30,2,true,Hard to concentrate
2025-01-09,Practice LeetCode,learning,08:45,09:30,4,true,Hard to follow
2025-01-09,Code feature implementation,deep_work,10:15,11:00,4,false,Good progress
